INST TIME1 TIME2 PARTIDA REND1 REND2 RESULT
222 Flamengo/RJ Ipatinga/MG semi-final Otimo Ruim true
223 Cruzeiro/MG Ipatinga/MG semi-final Otimo Ruim true
224 Figueirense/SC Ipatinga/MG semi-final Bom Bom false
225 Portuguesa/SP Ipatinga/MG final Bom Regular true
226 Internacional/RS Ipatinga/MG final Otimo Bom true
227 Palmeiras/SP Ipatinga/MG final Regular Regular true
228 Fluminense/RJ Ipatinga/MG final Ruim Fantastico false
229 Fluminense/RJ Nautico/PE inicio Regular Regular false
230 Gremio/RS Nautico/PE inicio Otimo Ruim true
231 Ipatinga/MG Nautico/PE inicio Otimo Ruim false
232 Palmeiras/SP Nautico/PE semi Otimo Ruim true
233 Flamengo/RJ Nautico/PE semi Otimo Ruim true
234 Portuguesa/SP Nautico/PE semi Regular Ruim true
235 Vitoria/BA Nautico/PE semi Otimo Ruim true
236 Cruzeiro/MG Nautico/PE meio Otimo Otimo true
237 Atletico/PR Nautico/PE meio Bom Ruim true
238 Goias/GO Nautico/PE meio Fantastico Fantastico true
239 Botafogo/RJ Nautico/PE semi-final Otimo Regular false
240 Vasco/RJ Nautico/PE semi-final Ruim Fantastico false
241 Atletico/MG Nautico/PE semi-final Otimo Regular true
242 Sao-Paulo/SP Nautico/PE semi-final Bom Regular true
243 Sport/PE Nautico/PE semi-final Bom Regular false
244 Internacional/RS Nautico/PE final Bom Bom false
245 Coritiba/PR Nautico/PE final Regular Regular false
246 Figueirense/SC Nautico/PE final Otimo Otimo true
247 Santos/SP Nautico/PE final Bom Otimo false
248 Coritiba/PR Palmeiras/SP inicio Bom Ruim true
249 Portuguesa/SP Palmeiras/SP inicio Otimo Ruim false
250 Sport/PE Palmeiras/SP inicio Bom Ruim true
251 Vasco/RJ Palmeiras/SP inicio Bom Ruim false
252 Atletico/MG Palmeiras/SP semi Ruim Fantastico false
253 Sao-Paulo/SP Palmeiras/SP semi Bom Regular true
254 Goias/GO Palmeiras/SP semi Bom Ruim true
255 Gremio/RS Palmeiras/SP semi Otimo Bom false
256 Ipatinga/MG Palmeiras/SP meio Bom Regular false
257 Botafogo/RJ Palmeiras/SP meio Otimo Bom true
258 Internacional/RS Palmeiras/SP meio Bom Regular true
259 Atletico/PR Palmeiras/SP semi-final Ruim Fantastico false
260 Cruzeiro/MG Palmeiras/SP semi-final Bom Fantastico false
261 Nautico/PE Palmeiras/SP semi-final Bom Otimo false
262 Figueirense/SC Palmeiras/SP semi-final Otimo Fantastico false
263 Fluminense/RJ Palmeiras/SP final Bom Otimo true
264 Santos/SP Palmeiras/SP final Ruim Fantastico false
265 Flamengo/RJ Palmeiras/SP final Bom Otimo true
266 Vitoria/BA Palmeiras/SP final Regular Otimo false
267 Vasco/RJ Portuguesa/SP inicio Otimo Ruim true
268 Atletico/MG Portuguesa/SP inicio Otimo Ruim true
269 Botafogo/RJ Portuguesa/SP inicio Otimo Ruim false
270 Coritiba/PR Portuguesa/SP semi Fantastico Fantastico true
271 Gremio/RS Portuguesa/SP semi Otimo Ruim true
272 Ipatinga/MG Portuguesa/SP semi Bom Ruim true
273 Sao-Paulo/SP Portuguesa/SP semi Bom Ruim true
274 Goias/GO Portuguesa/SP meio Bom Regular true
275 Sport/PE Portuguesa/SP meio Otimo Ruim true
276 Figueirense/SC Portuguesa/SP meio Bom Ruim true
277 Palmeiras/SP Portuguesa/SP meio Fantastico Regular true
278 Internacional/RS Portuguesa/SP semi-final Bom Ruim true
279 Atletico/PR Portuguesa/SP semi-final Bom Bom true
280 Santos/SP Portuguesa/SP semi-final Bom Ruim false
281 Vitoria/BA Portuguesa/SP semi-final Bom Ruim true
282 Nautico/PE Portuguesa/SP final Ruim Bom false
283 Flamengo/RJ Portuguesa/SP final Regular Fantastico false
284 Fluminense/RJ Portuguesa/SP final Regular Bom true
285 Cruzeiro/MG Portuguesa/SP final Otimo Fantastico true
286 Flamengo/RJ Santos/SP inicio Bom Ruim true
287 Cruzeiro/MG Santos/SP inicio Bom Ruim true
288 Vitoria/BA Santos/SP inicio Otimo Ruim true
289 Fluminense/RJ Santos/SP inicio Regular Regular false
290 Portuguesa/SP Santos/SP semi Otimo Bom false
291 Atletico/PR Santos/SP semi Regular Regular true
292 Figueirense/SC Santos/SP semi Fantastico Regular true
