381 7
INST TIME1 TIME2 PARTIDA REND1 REND2 RESULT
216 Internacional/RS Nautico/PE inicio Bom Ruim true
217 Internacional/RS Santos/SP inicio Otimo Regular true
218 Internacional/RS Atletico/PR meio Otimo Bom true
219 Internacional/RS Fluminense/RJ meio Bom Otimo false
220 Internacional/RS Goias/GO meio Otimo Regular true
221 Internacional/RS Atletico/MG semi Bom Otimo false
222 Internacional/RS Corinthians/SP semi Bom Bom true
223 Internacional/RS Figueirense/SC semi Bom Regular true
224 Internacional/RS Parana/PR semi Otimo Otimo true
225 Internacional/RS Vasco/RJ semi Bom Regular false
226 Internacional/RS America/RN semi-final Otimo Regular true
227 Internacional/RS Flamengo/RJ semi-final Otimo Bom true
228 Internacional/RS SaoPaulo/SP semi-final Bom Fantastico false
229 Juventude/RS Atletico/PR final Regular Bom false
230 Juventude/RS Botafogo/RJ final Regular Otimo false
231 Juventude/RS SaoPaulo/SP final Regular Fantastico true
232 Juventude/RS Sport/PE final Regular Regular true
233 Juventude/RS America/RN inicio Bom Bom true
234 Juventude/RS Figueirense/SC inicio Regular Bom false
235 Juventude/RS Parana/PR inicio Ruim Fantastico false
236 Juventude/RS Santos/SP inicio Regular Otimo false
237 Juventude/RS Atletico/MG meio Regular Bom false
238 Juventude/RS Corinthians/SP meio Regular Otimo false
239 Juventude/RS Fluminense/RJ meio Regular Otimo false
240 Juventude/RS Goias/GO meio Regular Regular false
241 Juventude/RS Internacional/RS semi Bom Regular true
242 Juventude/RS Nautico/PE semi Regular Regular false
243 Juventude/RS Palmeiras/SP semi Regular Otimo false
244 Juventude/RS Vasco/RJ semi Bom Bom true
245 Juventude/RS Cruzeiro/MG semi-final Regular Otimo true
246 Juventude/RS Flamengo/RJ semi-final Regular Bom false
247 Juventude/RS Gremio/RS semi-final Regular Bom false
248 Nautico/PE America/RN final Bom Regular true
249 Nautico/PE Corinthians/SP final Bom Bom true
250 Nautico/PE Flamengo/RJ final Bom Bom true
251 Nautico/PE Santos/SP final Bom Bom false
252 Nautico/PE Goias/GO inicio Regular Bom false
253 Nautico/PE Parana/PR inicio Regular Fantastico false
254 Nautico/PE SaoPaulo/SP inicio Fantastico Ruim true
255 Nautico/PE Vasco/RJ inicio Bom Fantastico false
256 Nautico/PE Atletico/MG meio Regular Otimo false
257 Nautico/PE Figueirense/SC meio Regular Bom true
