inst time_1 time_2 tempo_partida rendimento 
211 Ipatinga/MG Nautico/PE inicio Fantastico 
212 Ipatinga/MG Figueirense/SC semi Fantastico 
213 Ipatinga/MG Botafogo/RJ final Fantastico 
214 Ipatinga/MG Flamengo/RJ inicio Fantastico 
215 Ipatinga/MG Internacional/RS semi Fantastico 
216 Ipatinga/MG Palmeiras/SP meio Fantastico 
217 Ipatinga/MG Santos/SP meio Fantastico 
218 Ipatinga/MG Goias/GO meio Fantastico 
219 Ipatinga/MG Sao-Paulo/SP semi-final Fantastico 
220 Ipatinga/MG Gremio/RS final Fantastico 
221 Ipatinga/MG Vitoria/BA inicio Fantastico 
222 Ipatinga/MG Cruzeiro/MG semi Fantastico 
223 Ipatinga/MG Fluminense/RJ meio Fantastico 
224 Ipatinga/MG Coritiba/PR final Fantastico 
225 Ipatinga/MG Atletico/MG semi-final Bom 
226 Ipatinga/MG Vasco/RJ semi-final Fantastico 
227 Ipatinga/MG Sport/PE final Fantastico 
228 Ipatinga/MG Portuguesa/SP semi Fantastico 
229 Nautico/PE Sport/PE semi Fantastico 
230 Nautico/PE Palmeiras/SP semi-final Fantastico 
231 Nautico/PE Flamengo/RJ semi-final Fantastico 
232 Nautico/PE Vasco/RJ inicio Fantastico 
233 Nautico/PE Internacional/RS semi Fantastico 
234 Nautico/PE Coritiba/PR semi Fantastico 
235 Nautico/PE Figueirense/SC meio Fantastico 
236 Nautico/PE Santos/SP meio Fantastico 
237 Nautico/PE Fluminense/RJ meio Fantastico 
238 Nautico/PE Gremio/RS meio Fantastico 
239 Nautico/PE Portuguesa/SP final Fantastico 
240 Nautico/PE Vitoria/BA final Fantastico 
241 Nautico/PE Goias/GO inicio Fantastico 
242 Nautico/PE Atletico/MG inicio Fantastico 
243 Nautico/PE Sao-Paulo/SP semi Fantastico 
244 Nautico/PE Ipatinga/MG semi-final Fantastico 
245 Nautico/PE Atletico/PR final Fantastico 
246 Nautico/PE Botafogo/RJ inicio Fantastico 
247 Nautico/PE Cruzeiro/MG final Fantastico 
248 Palmeiras/SP Sport/PE semi-final Fantastico 
249 Palmeiras/SP Gremio/RS final Fantastico 
250 Palmeiras/SP Botafogo/RJ final Fantastico 
251 Palmeiras/SP Atletico/PR inicio Fantastico 
252 Palmeiras/SP Figueirense/SC semi Fantastico 
253 Palmeiras/SP Flamengo/RJ meio Fantastico 
254 Palmeiras/SP Coritiba/PR meio Fantastico 
255 Palmeiras/SP Goias/GO final Fantastico 
256 Palmeiras/SP Internacional/RS inicio Fantastico 
257 Palmeiras/SP Nautico/PE semi Fantastico 
258 Palmeiras/SP Vasco/RJ semi-final Otimo 
259 Palmeiras/SP Sao-Paulo/SP semi-final Fantastico 
260 Palmeiras/SP Ipatinga/MG final Fantastico 
261 Palmeiras/SP Fluminense/RJ semi Fantastico 
262 Palmeiras/SP Vitoria/BA meio Fantastico 
263 Palmeiras/SP Atletico/MG semi-final Fantastico 
264 Palmeiras/SP Santos/SP semi Fantastico 
265 Palmeiras/SP Portuguesa/SP meio Fantastico 
266 Palmeiras/SP Cruzeiro/MG inicio Fantastico 
267 Portuguesa/SP Santos/SP semi Fantastico 
268 Portuguesa/SP Vasco/RJ meio Fantastico 
269 Portuguesa/SP Coritiba/PR semi-final Fantastico 
270 Portuguesa/SP Goias/GO final Fantastico 
271 Portuguesa/SP Palmeiras/SP inicio Fantastico 
272 Portuguesa/SP Atletico/PR inicio Fantastico 
273 Portuguesa/SP Vitoria/BA semi Fantastico 
274 Portuguesa/SP Atletico/MG semi-final Fantastico 
275 Portuguesa/SP Flamengo/RJ semi Fantastico 
276 Portuguesa/SP Cruzeiro/MG meio Fantastico 
277 Portuguesa/SP Gremio/RS semi-final Fantastico 
278 Portuguesa/SP Ipatinga/MG final Fantastico 
279 Portuguesa/SP Sao-Paulo/SP final Fantastico 
280 Portuguesa/SP Sport/PE final Fantastico 
281 Portuguesa/SP Internacional/RS inicio Fantastico 
282 Portuguesa/SP Nautico/PE semi Fantastico 
283 Portuguesa/SP Fluminense/RJ meio Fantastico 
284 Portuguesa/SP Botafogo/RJ semi-final Fantastico 
285 Portuguesa/SP Figueirense/SC inicio Fantastico 
286 Santos/SP Sao-Paulo/SP inicio Fantastico 
287 Santos/SP Goias/GO inicio Fantastico 
288 Santos/SP Nautico/PE final Fantastico 
289 Santos/SP Gremio/RS semi Fantastico 
290 Santos/SP Sport/PE semi Fantastico 
291 Santos/SP Coritiba/PR meio Fantastico 
