381 6
inst time_1 time_2 tempo_partida rendimento resultado
195 Gremio/RS Flamengo/RJ semi Fantastico true
196 Gremio/RS Palmeiras/SP semi Otimo false
197 Gremio/RS Atletico/PR semi Bom false
198 Gremio/RS SaoPaulo/SP meio Bom false
199 Gremio/RS America/RN meio Bom true
200 Gremio/RS Parana/PR meio Otimo true
201 Gremio/RS Botafogo/RJ semi-final Otimo true
202 Gremio/RS Vasco/RJ semi-final Otimo true
203 Gremio/RS Internacional/RS semi-final Otimo true
204 Gremio/RS Santos/SP semi-final Otimo true
205 Gremio/RS Atletico/MG semi-final Otimo false
206 Gremio/RS Goias/GO final Otimo true
207 Gremio/RS Nautico/PE final Otimo true
208 Gremio/RS Figueirense/SC final Otimo false
209 Gremio/RS Corinthians/SP final Otimo false
210 Internacional/RS Botafogo/RJ inicio Ruim false
211 Internacional/RS Nautico/PE inicio Bom true
212 Internacional/RS Santos/SP inicio Otimo true
213 Internacional/RS Gremio/RS inicio Bom false
214 Internacional/RS Atletico/MG semi Bom false
215 Internacional/RS Figueirense/SC semi Bom true
216 Internacional/RS Corinthians/SP semi Bom true
217 Internacional/RS Parana/PR semi Otimo true
218 Internacional/RS Vasco/RJ semi Bom false
219 Internacional/RS Goias/GO meio Otimo true
220 Internacional/RS Atletico/PR meio Otimo true
221 Internacional/RS Fluminense/RJ meio Bom false
222 Internacional/RS Flamengo/RJ semi-final Otimo true
223 Internacional/RS SaoPaulo/SP semi-final Bom false
224 Internacional/RS America/RN semi-final Otimo true
225 Internacional/RS Juventude/RS final Otimo true
226 Internacional/RS Sport/PE final Bom false
227 Internacional/RS Cruzeiro/MG final Otimo true
228 Internacional/RS Palmeiras/SP final Otimo true
229 Juventude/RS Parana/PR inicio Ruim false
230 Juventude/RS America/RN inicio Bom true
231 Juventude/RS Santos/SP inicio Regular false
232 Juventude/RS Figueirense/SC inicio Regular false
233 Juventude/RS Vasco/RJ semi Bom true
234 Juventude/RS Nautico/PE semi Regular false
235 Juventude/RS Internacional/RS semi Bom true
236 Juventude/RS Palmeiras/SP semi Regular false
237 Juventude/RS Atletico/MG meio Regular false
238 Juventude/RS Fluminense/RJ meio Regular false
239 Juventude/RS Corinthians/SP meio Regular false
240 Juventude/RS Goias/GO meio Regular false
241 Juventude/RS Cruzeiro/MG semi-final Regular true
242 Juventude/RS Flamengo/RJ semi-final Regular false
243 Juventude/RS Gremio/RS semi-final Regular false
244 Juventude/RS Atletico/PR final Regular false
245 Juventude/RS Botafogo/RJ final Regular false
246 Juventude/RS SaoPaulo/SP final Regular true
247 Juventude/RS Sport/PE final Regular true
248 Nautico/PE SaoPaulo/SP inicio Fantastico true
249 Nautico/PE Vasco/RJ inicio Bom false
250 Nautico/PE Parana/PR inicio Regular false
251 Nautico/PE Goias/GO inicio Regular false
252 Nautico/PE Palmeiras/SP semi Regular false
253 Nautico/PE Cruzeiro/MG semi Ruim false
254 Nautico/PE Gremio/RS semi Ruim false
255 Nautico/PE Fluminense/RJ semi Ruim false
256 Nautico/PE Figueirense/SC meio Regular true
257 Nautico/PE Atletico/MG meio Regular false
258 Nautico/PE Internacional/RS semi-final Ruim false
259 Nautico/PE Botafogo/RJ semi-final Regular true
260 Nautico/PE Sport/PE semi-final Regular true
261 Nautico/PE Atletico/PR semi-final Regular true
262 Nautico/PE Juventude/RS semi-final Bom true
263 Nautico/PE Corinthians/SP final Bom true
264 Nautico/PE Santos/SP final Bom false
265 Nautico/PE America/RN final Bom true
266 Nautico/PE Flamengo/RJ final Bom true
267 Palmeiras/SP Figueirense/SC inicio Fantastico true
268 Palmeiras/SP Cruzeiro/MG inicio Bom false
269 Palmeiras/SP Botafogo/RJ inicio Regular false
270 Palmeiras/SP Atletico/PR inicio Regular false
271 Palmeiras/SP America/RN semi Bom true
272 Palmeiras/SP Santos/SP semi Regular false
273 Palmeiras/SP Vasco/RJ semi Bom true
274 Palmeiras/SP Sport/PE meio Regular false
275 Palmeiras/SP Flamengo/RJ meio Bom true
276 Palmeiras/SP Internacional/RS meio Bom false
277 Palmeiras/SP SaoPaulo/SP meio Regular false
278 Palmeiras/SP Goias/GO semi-final Bom true
279 Palmeiras/SP Corinthians/SP semi-final Bom true
280 Palmeiras/SP Nautico/PE semi-final Bom true
281 Palmeiras/SP Gremio/RS semi-final Bom true
282 Palmeiras/SP Parana/PR final Bom true
283 Palmeiras/SP Juventude/RS final Bom false
284 Palmeiras/SP Fluminense/RJ final Bom true
285 Palmeiras/SP Atletico/MG final Bom false
286 Parana/PR Gremio/RS inicio Fantastico true
287 Parana/PR SaoPaulo/SP inicio Bom false
288 Parana/PR Sport/PE inicio Otimo true
289 Parana/PR Atletico/PR semi Bom false
290 Parana/PR America/RN semi Bom false
291 Parana/PR Figueirense/SC semi Regular false
292 Parana/PR Palmeiras/SP semi Bom true
293 Parana/PR Atletico/MG semi Regular false
294 Parana/PR Botafogo/RJ meio Regular false
295 Parana/PR Vasco/RJ meio Regular false
296 Parana/PR Cruzeiro/MG meio Regular false
297 Parana/PR Juventude/RS meio Regular true
298 Parana/PR Nautico/PE semi-final Regular false
299 Parana/PR Corinthians/SP semi-final Regular true
300 Parana/PR Fluminense/RJ semi-final Bom true
301 Parana/PR Flamengo/RJ semi-final Regular false
302 Parana/PR Internacional/RS final Bom true
303 Parana/PR Goias/GO final Bom true
304 Parana/PR Santos/SP final Bom false
305 Santos/SP America/RN inicio Ruim false
306 Santos/SP Corinthians/SP inicio Ruim false
307 Santos/SP SaoPaulo/SP inicio Ruim false
308 Santos/SP Gremio/RS semi Ruim false
309 Santos/SP Cruzeiro/MG semi Regular true
310 Santos/SP Botafogo/RJ semi Regular true
311 Santos/SP Flamengo/RJ semi Bom true
312 Santos/SP Figueirense/SC semi Bom true
313 Santos/SP Nautico/PE semi Bom false
314 Santos/SP Parana/PR meio Bom true
315 Santos/SP Sport/PE meio Bom true
316 Santos/SP Atletico/PR meio Bom true
317 Santos/SP Internacional/RS semi-final Otimo true
318 Santos/SP Juventude/RS semi-final Otimo true
319 Santos/SP Vasco/RJ semi-final Otimo true
320 Santos/SP Palmeiras/SP final Otimo false
321 Santos/SP Goias/GO final Otimo true
322 Santos/SP Atletico/MG final Otimo false
323 Santos/SP Fluminense/RJ final Bom false
324 SaoPaulo/SP Goias/GO inicio Fantastico true
325 SaoPaulo/SP Palmeiras/SP inicio Bom false
326 SaoPaulo/SP Atletico/MG inicio Regular false
327 SaoPaulo/SP Vasco/RJ inicio Bom true
328 SaoPaulo/SP Flamengo/RJ semi Bom false
329 SaoPaulo/SP Internacional/RS semi Bom true
330 SaoPaulo/SP Fluminense/RJ semi Bom false
331 SaoPaulo/SP Sport/PE semi Bom true
332 SaoPaulo/SP Juventude/RS semi Bom true
333 SaoPaulo/SP Atletico/PR meio Otimo true
334 SaoPaulo/SP Nautico/PE meio Otimo true
335 SaoPaulo/SP Parana/PR semi-final Otimo true
